level_0,index,Unnamed: 0,reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,lengthContent,Language
2812,4087,4087,7c7a7fe6-f187-48c6-823a-70ae734b04a3,"the app runs a little slow at times, but nothing worth taking away any stars. Love the selection and quality of items offered, and free shipping!",5,5,26.23.0.100,2023-12-09 10:57:59,,,26.23.0.100,2,145,en
17483,24985,24985,c76ab0e8-50f0-48ec-a920-9de9329299fa,"You do realize there is more than just apple Samsung Motorola but I did see you have LG but LG doesn't make phone anymore so there phones are useless you should take LG off the trade in and and more name to the trade in like OnePlus, Blu, bluboo , RCA, because LG phones are dead. I have a Blu g91 and I was going to tread it in for money to help pay for the Blu f91 5g but can't",3,0,22.19.0.100,2022-05-06 03:05:51,,,22.19.0.100,1,379,en
7525,10956,10956,5cd981cf-c9be-45ee-b0e3-92af3d7c2a12,"Easy to use if you know what you want, simple to find and select item and the ordering process is painless. I will still use a computer and the website if I want to compare multiple products at the same time.",5,2,26.21.0.100,2023-11-01 11:15:01,,,26.21.0.100,2,208,en
7019,10263,10263,74daab50-f012-4d3d-a880-9a3f0e4fd159,Work ok but frozen on loading and searching as well.,3,1,26.21.0.100,2023-11-05 12:08:47,,,26.21.0.100,1,52,en
8328,12432,12432,af3b1dfc-9982-49d2-ab96-d06f2b9ae9a6,easy shopping and fast delivery,5,0,26.19.4.100,2023-10-10 17:42:38,,,26.19.4.100,2,31,en
14143,20042,20042,f1b4abae-a905-4482-99a0-aebaffaf007e,Attn developers: Please fix the overflow (maybe it is overflow-x: hidden - something like that so you understand what I mean) in the cart of the application on the mobile. It is quite hard to navigate around and this problem is also happening with my friend. We both have an android.,3,0,24.21.4.100,2022-11-27 17:51:40,,,24.21.4.100,1,283,en
10134,15004,15004,39860cca-1162-4c46-973b-d4a742cc8570,"Was a decent app. Occasionally has a few bugs. Yet another pointless update. Why? Why turn 1 step onto 4? Instead of saving an item to a shopping list and keeping it simple, you now have to navigate 4 pages to reach the shopping list and move the item to a list. Just create a pop-up when the book mark is checked, then prompt the user to select a list they made..And be done with it. Not all of us are impulse shoppers. We will seek out exactly what we are looking for and leave.",3,59,26.13.6.100,2023-07-17 17:49:40,,,26.13.6.100,1,480,en
1222,1829,1829,1cc39892-3ec4-479f-9c85-974595f6bbf3,Suboptimal performance. Had to uninstall.,1,0,,2023-12-26 19:31:49,,,,0,41,en
13162,18764,18764,406f80a0-d9f2-498e-97c9-f33b72fc350d,I like shopping on Amazon but I DO NOT like being forced to change my password. I would like to be a responsible adult all on my own. Simply suggesting a change of password would be enough. Otherwise great app.,3,1,26.2.0.100,2023-01-25 18:31:17,,,26.2.0.100,1,210,en
10917,15987,15987,d189ca1a-5c83-4cad-a1c7-dddb8dcdaf92,It'd be really great if I could edit my shortcuts for things I actually use on a regular basis and be able to rearrange the order of them too. Finding my gift card balance has been extra annoying lately. It USED to be a shortcut. Now I have to go look under account info for that in a list of 50 other things,3,20,26.12.0.100,2023-06-14 17:00:14,,,26.12.0.100,1,308,en
15164,21386,21386,af2b5ff6-26cb-487c-9d42-a2a33304a392,"It glitches, blinks and then shuts down. Doesn't give the option to update.",2,0,24.17.0.100,2022-09-25 20:56:47,,,24.17.0.100,0,75,en
16724,23806,23806,9e6e99c7-b755-45fb-9022-cbf26f7c6674,Never asked and can't get rid of it,4,0,20.1.0.100,2022-06-16 04:41:56,,,20.1.0.100,2,35,en
10983,16059,16059,21611338-d319-4636-ab87-ac73c6c4dde0,"Scammy click-bait changes Recently the search results started showing a product with a price that was the lowest in the listing. I.E. the listing in the search results will be for ""100 pieces"", but the price shown will be for ""5 pieces"". You can't see this without clicking the listing, thus wasting a ton of time due to mis-information. This experience is awful, and discourages continued use of the Amazon marketplace. I'd rather go somewhere that doesn't lie to me in their search results.",2,22,26.12.0.100,2023-06-12 21:20:15,,,26.12.0.100,0,492,en
6168,9200,9200,89333e22-623d-4d92-8a6c-75335469424d,Bad update. The app is constantly freezing and crashing when I try to scroll.,1,0,26.21.0.100,2023-11-06 23:15:57,,,26.21.0.100,0,77,en
15329,21604,21604,cd4643ad-9a37-4b9b-bd79-7834207cc0b5,Hate the new filter menus! Please change it back :(,2,2,24.17.0.100,2022-09-16 14:56:29,,,24.17.0.100,0,51,en
9798,14566,14566,840facb2-ffa5-4443-a081-c74645e58785,the mobile app doesn't let favorite anytbing under the spec I choose. please fix this. it's really annoying and you will lose sales.,3,0,26.15.0.100,2023-08-04 00:40:26,,,26.15.0.100,1,132,en
819,1246,1246,465ab143-8f7f-45e3-9d65-dc2c97680c72,The app is getting stuck when scrolling,4,0,26.23.4.100,2023-12-30 18:31:28,,,26.23.4.100,2,39,en
13507,19221,19221,963c8e1c-899b-4fdd-b4a0-0903828661ed,"It works fine, but why doesn't a trillion dollar company have a dark mode option for their app and website? No excuse bruh.",4,1,24.22.0.100,2023-01-02 10:06:23,,,24.22.0.100,2,123,en
3249,4686,4686,a88aa8c6-0854-43b0-8984-7aea41ceb0ff,the best place to get what u want without the hassle of extra lifting .great delivered to my door,5,0,26.22.0.100,2023-12-04 23:14:26,,,26.22.0.100,2,97,en
6860,10066,10066,b40bf061-3550-4b12-9f7f-79eb853a9be4,"What's going on? As of lately, the app just crashes!",3,0,26.21.0.100,2023-11-05 23:17:02,,,26.21.0.100,1,52,en
15707,22145,22145,5a321477-c962-4ddb-8390-1515e4a37215,The app works for the most part but like most apps has it's bugs. When accessing any current orders placed the app just stalls and never shows the orders.,3,0,24.15.2.100,2022-08-23 23:58:20,,,24.15.2.100,1,154,en
13020,18591,18591,13d9bc04-cf57-4c0b-acb2-0c0884b7598e,"It was okay and I thought it was going well but apparently Amazon has never seen someone buy a pair of headphones online with a paycard from their job so now my account is inaccessible and I cannot check on my order or even log in. It's also asking for an image of my card to help ""verify"" this ""strange card activity"". There's nothing strange with my card and I've never had an issue like this. It's a $50 pair of headphones, I've bought things a with it a little over $100 and never had this issue.",2,1,26.3.0.100,2023-02-06 11:07:26,,,26.3.0.100,0,500,en
1501,2230,2230,1b6f191e-e616-4abb-8be7-ee627a564494,"You gotta watch Amazon because they are consistently priced higher than other leading competitors and is difficult as a consumer, to make that sacrifice in money, even though we would like to support the company. However, I've stopped shopping at Walmart because they've gone all China and it bothers me. Also, they make you pay a fairly steep membership fee and then an additional $7-$19.99 to get items delivered that are under $35 and it's too much when I order as little as possible, often.",4,13,26.23.4.100,2023-12-22 22:10:04,,,26.23.4.100,2,494,en
13154,18754,18754,496750b4-3d8c-4800-9fba-989ea224afae,I wish they would put packages under chair on porch.,4,0,,2023-01-26 10:45:09,,,,2,52,en
14613,20654,20654,68656261-769e-4b48-ab0c-8e750f0a6868,You know it's really use some coffee,3,0,24.17.0.100,2022-10-29 21:38:43,,,24.17.0.100,1,36,en
14686,20744,20744,6de5faf2-5c50-44b1-a974-7b838a17b4d5,The app doesn't show the questions and answers. Please add this functionality,3,0,24.19.0.100,2022-10-25 07:52:40,,,24.19.0.100,1,77,en
11713,16920,16920,5c54b6ff-1aee-4b88-aeff-81405dc5fac3,This app was brilliant but I've just updated and it's almost like it's stuck and needs a jump start. Don't know what you tried to fix but you've broken it.,3,1,26.9.0.100,2023-05-09 05:53:17,,,26.9.0.100,1,155,en
11683,16881,16881,236244e6-322a-45d1-bb1f-e695fe49e0cc,"I love doing business with Amazon, but the white background of the app Amazon Shopping is extremely bright, making it difficult to navigate for a long time. Please add a dark mode option.",4,3,26.9.0.100,2023-05-11 01:04:18,,,26.9.0.100,2,187,en
10416,15372,15372,3b986440-743c-4bb9-8d8e-c33601ff63f1,I tried rating clothes but it only gave me men's and I'm a WOMAN,3,0,26.13.6.100,2023-07-05 11:19:13,,,26.13.6.100,1,64,en
12844,18366,18366,86b7c518-3568-4060-8d2b-5c8122b090d3,Its great just not to e scammed in the moment,4,0,,2023-02-19 11:23:45,,,,2,45,en
9512,14203,14203,74d62f03-fcc3-4c03-8ab8-48ff53325d1a,New review display is awful. 80% 5 star is meaningless when one product has 5 reviews and another has 5000 reviews. I need to see the number of reviews and the stars to be able to quickly make decisions from the piles of largely similar products. Not sure who benefits from this change. Certainly not buyers.,3,0,24.21.0.100,2023-08-17 19:26:35,,,24.21.0.100,1,308,en
4222,6152,6152,6ab37089-efa9-40fe-bcee-6bacc7a0de77,"Freezes every time a search is initiated, or filters are used. Then locks up entirely and resets the app. Unable to search or even use the app at all. Can't scroll down on anyone's list at all. Very difficult to use.",1,6,26.22.0.100,2023-11-24 15:58:36,,,26.22.0.100,0,216,en
4200,6123,6123,c0954d24-bd5c-4da5-8bcc-c51657d13333,Being spammed for Black Friday is just beyond the settings I chose. I want to know about my orders and my subscription. That's it. That's all.,1,1,26.22.0.100,2023-11-24 18:49:38,,,26.22.0.100,0,142,en
10836,15883,15883,b683d5d2-309e-4006-8a50-84f15aa75405,"Things seemed to be shifted around after a recent update, and it seems the quality of life of the app just dropped. Users like me like simple and easy to find, including comfortable to use. The search bar on the bottom is just uncomfortable when scrolling and looking through products and it is an eye-sore. Please change it back to the top and have less buttons to navigate through. Thank you!",2,831,26.12.0.100,2023-06-17 08:44:03,,,26.12.0.100,0,394,en
