level_0,index,Unnamed: 0,reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,lengthContent,Language
1007,1527,1527,7d6a4b7f-0f17-47c6-8010-3187dd1c86a7,I've been using my visa gift card. All the information is valid and it's not expired. For some stupid reason it's not working! I have the perfect amount. I used to love Amazon and thought it'd never fail me. Now it just DID.,1,2,26.23.4.100,2023-12-28 21:20:56,,,26.23.4.100,0,224,en
8622,12941,12941,227c23e5-e178-4d69-bb99-3fe1445dc035,the PRIME PRICE IS WAY TO HIGH!!,5,0,26.19.2.100,2023-10-02 12:09:02,,,26.19.2.100,2,32,en
7774,11420,11420,bc748a49-bbd9-4773-a63f-f0950ad66310,easy to use and fast free delivery,5,0,26.20.0.100,2023-10-25 03:46:34,,,26.20.0.100,2,34,en
5478,8135,8135,0b2c1d90-3026-427a-bea9-918d1e067e8f,The Shopping On Amazon Is The Greatest Of All.Thank You. Mary Sharp. I'm Looking For A Coke A Cola Ice Machine.,5,0,,2023-11-12 01:54:20,,,,2,111,en
13393,19072,19072,bee9613a-352d-4328-abaa-986316fe788d,I am rarely not satisfied seems I'm always satisfied with Amazon,4,0,24.22.0.100,2023-01-10 09:30:07,,,24.22.0.100,2,64,en
10970,16046,16046,425efc12-58b1-4703-98c4-fc94134c6ded,App freezes on opening items to purchase,2,0,26.12.0.100,2023-06-13 10:33:40,,,26.12.0.100,0,40,en
10401,15353,15353,f28bf90c-af89-47f5-aa56-0112756e2e87,I really hate that you're forced to see the full screen Prime Day advertisement everytime you open the app.,2,1,26.13.6.100,2023-07-06 02:11:36,,,26.13.6.100,0,107,en
363,575,575,602df5b0-5255-424e-8ee1-84ecca4c501b,I don't know what is going on... It closes after clicking on an item,1,0,26.23.4.100,2024-01-04 18:42:35,,,26.23.4.100,0,68,en
7386,10744,10744,1799d28c-0422-4bd4-bdf5-f9ce7ec1b7d0,I'm retired and disabled. For me Amazon certainly enhances my life. I can remain self-reliant.,5,0,26.21.0.100,2023-11-03 14:43:57,,,26.21.0.100,2,94,en
6905,10118,10118,0f75bb51-d568-473d-9415-c10dde820ca8,"Keep getting ""wait"" and ""not responding close app""",2,0,26.21.0.100,2023-11-05 21:06:31,,,26.21.0.100,0,50,en
12159,17491,17491,c9b48aa7-bba6-400e-97be-28fe0acfcbc3,It does not support Pakistan and has no branch located here. We would love to shop but we're deprived of this service.,3,0,,2023-04-09 07:03:11,,,,1,118,en
1547,2302,2302,719bdcf4-d046-44aa-a720-f0590c82bdba,"many unavailable functions or buggy, couldn't change a payment.",1,0,26.23.2.100,2023-12-22 11:00:49,,,26.23.2.100,0,63,en
10661,15663,15663,cbc3076a-77a7-4c3a-8954-925bf05d831c,You can anything you want on this app and at good prices. Love this app ❤️.,4,0,26.13.0.100,2023-06-24 20:28:04,,,26.13.0.100,2,75,en
14890,21013,21013,2ceaeebf-a3af-4a33-adce-cf82fa3101d8,Used to use Amazon especially during peak COVID still did post but nowadays not really due to this new scheme with such huge price difference for prime members and non prime members! Living expenses are already so high and company like this just doesn't help by doing this.,3,0,24.18.2.100,2022-10-12 18:24:40,,,24.18.2.100,1,273,en
13261,18891,18891,46e02388-a3c9-4547-bd3f-43b50b1975d3,The app keeps crashing and makeing my phone freeze,3,0,26.1.2.100,2023-01-18 01:49:53,,,26.1.2.100,1,50,en
